Datei;Klasse/Typ;Funktion;Rückgabewert;Parameter;Funktionalität
arbeit.pas;-;CCC_Check_Job_Stueckzahl;-;-;Prüft Job-Stückzahlen (z. B. für SPC)
arbeit.pas;-;CCC_Check_StillstandNr_SPS;-;-;Prüft Stillstandsnummern aus der SPS
arbeit.pas;-;CCC_UeberwachungszeitBerechnen;-;MaschNr: Integer;Berechnet Überwachungszeiten für eine Maschine
arbeit.pas;-;CCC_QS_Jobs;-;-;Verarbeitet QS-Jobs (Qualitätssicherung)
arbeit.pas;-;CCC_A_Felder_Schicht_Berechnen;-;aQ1, aQ2, aU: TCO_Query; aSchichtstart: Extended; aSchicht: Integer;Berechnet A-Felder (Anlagenausfall, Ruesten, Logistik) pro Schicht
arbeit.pas;-;CCC_A_Felder_Schicht_Berechnen2;-;aQ1, aQ2, aU: TCO_Query; aSchichtstart: Extended; aSchicht: Integer;Alternative Berechnung für A-Felder
arbeit.pas;-;CCC_TaktzeitIstSchreiben;-;-;Schreibt Ist-Taktzeiten in die Datenbank
arbeit.pas;-;CheckJobPrestart;-;-;Prüft Job-Prestart-Bedingungen
arbeit.pas;-;CCC_Auto_Ruesten2;-;-;Automatisches Rüsten für Aufträge
arbeit.pas;-;CCC_InsertStillGehtEvent;-;KeyNr: string;Fügt ein Stillstands-Event ein
arbeit.pas;-;CCC_SchreibeSystemID;-;-;Schreibt System-ID in die Datenbank
arbeit.pas;-;CCC_CheckLicenses;Boolean;-;Prüft Lizenzen für Maschinen
arbeit.pas;-;CCC_FolgeAuftrag_Starten;-;-;Startet Folgeaufträge automatisch (falls konfiguriert)
arbeit.pas;-;CCC_SetSchichtKonstante;-;-;Setzt Schichtkonstanten
arbeit.pas;-;CCC_Verpackt_aus_Ausschuss_Berechnen;-;-;Berechnet Verpackte Mengen aus Ausschuss (falls konfiguriert)
arbeit.pas;-;CCC_Maschinen_Wartung;-;-;Verarbeitet Maschinenwartungen
arbeit.pas;-;CCC_CheckBlock;-;-;Prüft Blockierungen (z. B. für Stillstände)
arbeit.pas;-;CCC_CheckBypass;-;-;Prüft Bypass-Modus (z. B. für Testzwecke)
arbeit.pas;-;CCC_CheckUnterbrocheneAuftraege;-;-;Prüft unterbrochene Aufträge und setzt sie ggf. fort
arbeit.pas;-;CCC_GetTPMSchichtAnfang;Real;Schicht: Integer; DatumZeit: Real;Gibt den Anfang einer Schicht als TDateTime zurück
arbeit.pas;-;CCC_Taktzeit_Aus_Stamm_Update;-;-;Aktualisiert Taktzeiten aus Stammdaten
arbeit.pas;-;CCC_JobSetupAndRestart;-;aCOAuftrag: TCO_Auftrag;Job-Setup und Neustart für Aufträge
arbeit.pas;-;CCC_Calc_R2_Times;-;-;Berechnet R2-Zeiten (z. B. für Rüstzeiten)
arbeit.pas;-;CCC_AutoSetup2;-;-;Automatisches Setup für Aufträge (z. B. für Folgeaufträge)
arbeit.pas;-;TTT_GetTPMSchichtZeit;Real;Schicht: Integer; DatumZeit: Real;Gibt die Schichtzeit als TDateTime zurück
arbeit.pas;-;TTT_GetTPMSchichtDatum;Real;Schicht: Integer; DatumZeit: Real;Gibt das Schichtdatum zurück
arbeit.pas;-;TTT_GetArbeitszeit_Schicht;Integer;qSuch4: TCO_Query; MaschNr: Integer; Datum: Real; Schicht: Integer;Berechnet die Arbeitszeit pro Schicht für eine Maschine
arbeit.pas;-;TTT_GetSchichtTyp;string;qSuch4: TCO_Query; MaschNr: Integer; Datum: Real; Schicht: Integer;Gibt den Schichttyp (z. B. "Früh", "Spät") zurück
arbeit.pas;-;TTT_InsertStillstandEvent;-;qUpdate: TCO_Query; aMaschNr: string;Fügt ein Stillstands-Event in die Datenbank ein
arbeit.pas;-;TTT_GetSignalNr;Integer;SignalArt: Integer;Gibt die Signalnummer für eine Signalart zurück
arbeit.pas;-;TTT_GetMonatStr;string;Datum: TDateTime;Gibt den Monatsnamen (z. B. "Januar") zurück
arbeit.pas;-;TTT_ErstelldatumEinfuegen;-;qUpdate, qSuch3: TCO_Query; Aufruf: Integer;Fügt Erstellungsdaten in Stillstands-Logs ein
arbeit.pas;-;TTT_GetRuestStillstandUeberschreitung;Integer;aqUpdate, aqSuch: TCO_Query; aMaschNr: Integer; aLizenz: string;Prüft, ob die Rüstzeit-Überschreitung vorliegt
arbeit.pas;-;VerpacktProtAusAusschussRechnen;-;aQSuch, aQSuch2, aQUpdate: TCO_Query; aDBUser: string;Berechnet Verpackte Mengen aus Ausschuss
arbeit.pas;-;VerpacktProtAusAusschussRechnen;-;aQSuch, aQSuch2, aQUpdate: TCO_Query; aDBUser: string; fromDate: TDateTime;Wie oben, aber ab einem bestimmten Datum
arbeit.pas;-;GFloat;Real;H: string;Konvertiert einen String in einen Real-Wert (mit Fehlerbehandlung für Dezimaltrennzeichen)
arbeit.pas;-;GetMonat;string;Datum: TDateTime;Gibt den Monat als String zurück (z. B. "01" für Januar)
arbeit.pas;-;GetQuartal;string;Datum: TDateTime;Gibt das Quartal zurück (z. B. "1" für Q1)
arbeit.pas;-;GetJahr;string;Datum: TDateTime;Gibt das Jahr zurück (z. B. "2024")
arbeit.pas;-;GetAktion;Integer;Stillstandnr: Integer;Gibt die Aktion für eine Stillstandsnummer zurück
arbeit.pas;-;GetSignalStillstand;Integer;Datenblock: Integer;Gibt die Signalnummer für Stillstand einer Maschine zurück
arbeit.pas;-;GetKWStr;string;Datum: TDateTime;Gibt die Kalenderwoche als String zurück (z. B. "25")
arbeit.pas;-;GetKW;string;Datum: TDateTime;Wie GetKWStr, aber ggf. mit anderen Formatierungen
arbeit.pas;-;Format_String;Integer;Wert: string;Konvertiert einen String in einen Integer (mit Fehlerbehandlung)
arbeit.pas;-;Pause;-;Sek: Integer;Pause für Sek Sekunden (Sleep)
arbeit.pas;-;GetSelectedMaschinen;string;Q: TCO_Query; AndStr, Feld, Liste: string; Style: Integer;Gibt eine SQL-Bedingung für ausgewählte Maschinen zurück
arbeit.pas;-;Statistik_Berechnen;-;-;Berechnet Statistiken (z. B. für Reports)
arbeit.pas;-;CCC_Proc_Ruesten_AutoBuchen;-;-;Automatische Rüstzeit-Buchung
arbeit.pas;-;GetPersonalNr_Signal;-;-;Liest Personalnummern-Signale aus der SPS
arbeit.pas;-;GetAusschuss_Signal;-;-;Liest Ausschuss-Signale aus der SPS
arbeit.pas;-;CheckCO_DatabaseConnect;Boolean;C: TCO_Database; Q: TCO_Query; LogId: Integer; thread: string;Prüft die Datenbankverbindung für eine bestimmte Komponente
arbeit.pas;-;N_o_w;TDateTime;-;Funktion: Gibt die aktuelle Zeit (Now) zurück (ggf. mit Zeitzonenanpassung)
comtas_h.pas;-;Konstanten;-;-;Definiert Status-Konstanten (stLaeuftInt=0, stStartRuestenInt=1, etc.) und Stillstandsgruppen (CANLAGENAUSFALL=0, CRUESTEN=1, etc.)
utils.pas;-;EnumProcesses;-;-;Listet alle laufenden Prozesse mit Speicherverbrauch auf (für Debugging)
utils.pas;-;EnumProcess;string;ProcessName: string;Gibt den Speicherverbrauch eines bestimmten Prozesses zurück
utils.pas;-;ProcessMemory_KB;string;id: Cardinal;Gibt den Speicherverbrauch eines Prozesses mit der ID id zurück
utils.pas;-;GetComputerNetName;string;-;Gibt den Computernamen zurück
utils.pas;-;LogUsrEvent;-;Query: TCO_Query; eventId: Integer; EventToken: string; BAnr, Artikel, Lizenz, Werkzeug, Neu: string; prod: integer; Alt: string = ''; Notice: string = ''; RefNo: string = '';Schreibt ein Benutzer-Event in die USR_EVENTLOG-Tabelle
utils.pas;-;LogUsrEvent;-;searchQuery, updateQuery: TCO_Query; eventId: Integer; EventToken: string; BAnr, Neu: string; Alt: string = ''; Notice: string = ''; RefNo: string = '';Wie oben, aber mit separaten Queries für Suche und Update
utils.pas;-;FloatToPunktString;string;aFloat: Extended;Konvertiert einen Extended-Wert in einen String mit Punkt als Dezimaltrennzeichen
utils.pas;-;ChangeDtCode;-;updateQuery: TCO_Query; stillstandnr, stillogNr: Integer; usrEventLog: Boolean; comment: string = '';Ändert den Stillstandscode in TPM_Stillog und loggt ggf. das Event
utils.pas;-;ChangeDtCode;-;query: TCO_Query; stillstandnr, stillogNr: Integer; usrEventlog, autoBuchung, reaktionszeit: Boolean; comment: string = '';Wie oben, mit zusätzlichen Optionen für AutoBuchung und Reaktionszeit
utils.pas;-;ChangeDtCode;-;updateQuery: TCO_Query; stillstandnr, stillogNr: Integer; stillogQuery: TCO_Query; comment: string = '';Wie oben, aber mit separatem Query für Stillog-Daten
utils.pas;-;LogAndChangeDtCode;-;updateQuery: TCO_Query; stillstandnr, stillogNr: Integer; stillogQuery: TCO_Query; autoBuchung, Reaktionszeit: Boolean; comment: string = '';Loggt und ändert den Stillstandscode
utils.pas;-;LogDtChangeEvent;-;stillogQuery, updateQuery: TCO_Query; stillogNr: Integer; comment: string = '';Loggt eine Stillstandsänderung in USR_EVENTLOG
